,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Boeremia hedericola,2,0.301029996,2,0.301029996,573,2.758154622,228,2.357934847,-2.485721426,-0.99847348,,
Boidinia furfuracea,59,1.770852012,27,1.431363764,21,1.322219295,18,1.255272505,-1.337274337,-2.139529272,,
Bolbitius reticulatus,4,0.602059991,2,0.301029996,240,2.380211242,112,2.049218023,-2.485721426,-1.3288163,,
Bolbitius titubans var. titubans,106,2.025305865,58,1.763427994,3781,3.577606677,979,2.990782692,-0.981646798,-0.191346522,,
Boletus aereus,1,0,1,0,210,2.322219295,59,1.770852012,-2.787460475,-1.616715768,,
Boletus appendiculatus,3,0.477121255,2,0.301029996,385,2.58546073,130,2.113943352,-2.485721426,-1.260804994,,
Boletus armeniacus,6,0.77815125,4,0.602059991,29,1.462397998,15,1.176091259,-2.183269844,-2.219235134,,
Boletus badius,131,2.117271296,51,1.707570176,4705,3.672559628,957,2.980911938,-1.042938219,-0.207453988,,
Boletus calopus,10,1,7,0.84509804,576,2.760422483,192,2.283301229,-1.938090651,-1.079934576,,
Boletus chrysenteron,268,2.428134794,89,1.949390007,7416,3.870169721,1161,3.06483222,-0.770769297,-0.061948357,,
Boletus edulis,107,2.029383778,41,1.612783857,4230,3.626340367,958,2.981365509,-1.145370765,-0.206718865,,
Boletus erythropus,41,1.612783857,16,1.204119983,1597,3.203304916,544,2.7355989,-1.572581201,-0.555769951,,
Boletus ferrugineus,6,0.77815125,5,0.698970004,367,2.564666064,156,2.193124598,-2.085647288,-1.176833009,,
Boletus fragrans,4,0.602059991,4,0.602059991,13,1.113943352,10,1,-2.183269844,-2.396199347,,
Boletus impolitus,10,1,6,0.77815125,286,2.456366033,114,2.056904851,-2.005752329,-1.320765588,,
Boletus legaliae,6,0.77815125,3,0.477121255,171,2.23299611,36,1.556302501,-2.308919956,-1.835338203,,
Boletus luridiformis var. luridiformis,32,1.505149978,16,1.204119983,898,2.953276337,234,2.369215857,-1.572581201,-0.986044048,,
Boletus luridus var. luridus,53,1.72427587,28,1.447158031,1012,3.005180513,299,2.475671188,-1.320739585,-0.866948854,,
Boletus moravicus,2,0.301029996,2,0.301029996,132,2.120573931,54,1.73239376,-2.485721426,-1.656062693,,
Boletus pinophilus,1,0,1,0,233,2.367355921,79,1.897627091,-2.787460475,-1.486367698,,
Boletus porosporus,1,0,1,0,856,2.932473765,343,2.53529412,-2.787460475,-0.798556025,,
Boletus pruinatus,9,0.954242509,5,0.698970004,1057,3.024074987,341,2.532754379,-2.085647288,-0.801498263,,
Boletus pulverulentus,7,0.84509804,2,0.301029996,567,2.753583059,216,2.334453751,-2.485721426,-1.024242348,,
Boletus queletii,9,0.954242509,7,0.84509804,371,2.56937391,138,2.139879086,-1.938090651,-1.233400807,,
Boletus radicans,42,1.62324929,20,1.301029996,681,2.833147112,190,2.278753601,-1.472756449,-1.084858379,,
Boletus reticulatus,15,1.176091259,11,1.041392685,403,2.605305046,180,2.255272505,-1.738924627,-1.11021548,,
Boletus rhodopurpureus,1,0,1,0,118,2.071882007,15,1.176091259,-2.787460475,-2.219235134,,
Boletus rubellus,11,1.041392685,10,1,774,2.888740961,267,2.426511261,-1.781036939,-0.922377462,,
Boletus satanas,15,1.176091259,5,0.698970004,202,2.305351369,41,1.612783857,-2.085647288,-1.777974672,,
Boletus subtomentosus,205,2.311753861,76,1.880813592,2633,3.420450859,750,2.875061263,-0.849968683,-0.367976785,,
Botryobasidium aureum,1,0,1,0,640,2.806179974,281,2.44870632,-2.787460475,-0.897450982,,
Botryobasidium conspersum,38,1.579783597,20,1.301029996,179,2.252853031,111,2.045322979,-1.472756449,-1.332893171,,
Botryobasidium laeve,1,0,1,0,61,1.785329835,42,1.62324929,-2.787460475,-1.767332588,,
Botryobasidium subcoronatum,1,0,1,0,429,2.632457292,237,2.374748346,-2.787460475,-0.979936208,,
Botryohypochnus isabellinus,3,0.477121255,3,0.477121255,63,1.799340549,30,1.477121255,-2.308919956,-1.915575699,,
Botryosphaeria dothidea,1,0,1,0,125,2.096910013,71,1.851258349,-2.787460475,-1.534169166,,
Botryosphaeria stevensii,2,0.301029996,2,0.301029996,67,1.826074803,34,1.531478917,-2.485721426,-1.860514155,,
Botryosporium pulchrum,3,0.477121255,3,0.477121255,55,1.740362689,38,1.579783597,-2.308919956,-1.811504452,,
Botrytis aclada,1,0,1,0,14,1.146128036,11,1.041392685,-2.787460475,-2.354632211,,
